,,,,,,,[final],10,10,0,1.25,1.25,<RuntimePrimitiveException>,763.4,4,4,0,0.8,0.8,<RuntimePrimitiveException>,782.3,6,6,0,0.483333333,0.483333333,<RuntimePrimitiveException>,754,5,5,0,0.64,0.64,<RuntimePrimitiveException>,765,5,5,0,1.4,1.4,<RuntimePrimitiveException>,762.9,3,3,0,0.766666667,0.766666667,<RuntimePrimitiveException>,779.6,8,8,0,0.7125,0.7125,<RuntimePrimitiveException>,756.5,2,2,0,1.9,1.9,<RuntimePrimitiveException>,757.7,7,7,0,0.971428571,0.971428571,<RuntimePrimitiveException>,760.7,3,3,0,0.533333333,0.533333333,<RuntimePrimitiveException>,760.3
,,,,,,,[min],10,10,0,1.25,1.25,1.166666667,424.4,4,4,0,0.8,0.8,1.241984733,421.1,6,6,0,0.483333333,0.483333333,1.377941176,404.4,5,5,0,0.64,0.64,0.928571429,412.6,5,5,0,1.189705882,1.203030303,0.75,410.9,3,3,0,0.766666667,0.766666667,0.8,423,8,8,0,0.7125,0.7125,0.775,422.8,2,2,0,0.773333333,0.773333333,1.2,384,7,7,0,0.971428571,0.971428571,1.548507463,410.9,3,3,0,0.533333333,0.533333333,1.470634921,414.5
,,,,,,,[max],1000,487,960,4,4,4,1292,1000,503,949,4,4,4,1339,1000,507,947,4,4,4,1303,1000,490,946,4,4,4,1336,1000,496,923,4,4,4,1291,1000,490,941,4,4,4,1328,1000,511,941,4,4,4,1314,1000,508,957,4,4,4,1292,1000,496,942,4,4,4,1326,1000,500,939,4,4,4,1275
,,,,,,,[mean],429.4285714,117,312.4285714,1.970806009,1.989004103,,671.6714286,431.7142857,127.2857143,304.4285714,1.886940226,1.958071563,,672.2857143,433.8571429,129.5714286,304.2857143,1.818704133,1.829952112,,651.8285714,435,131,304,1.822822078,1.875311547,,670.4,430.2857143,127,303.2857143,1.969774807,1.969436843,,661.6571429,430.2857143,122.7142857,307.5714286,1.840052279,1.861977759,,683.3714286,432.2857143,133.2857143,299,1.875578546,1.88937825,,670.0428571,433,121.2857143,311.7142857,1.965679403,1.939204933,,646.7857143,435.7142857,129.8571429,305.8571429,1.92257368,1.83945877,,663.4285714,427.7142857,128.2857143,299.4285714,1.816903429,1.839533181,,663.1428571
average,,,,,,,[steps],6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,soli,greg,all,soli,greg,large,[all run data],count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches
1000,498.8,501.2,4,4,4,1309.6,,1000,487,513,4,4,4,1292,1000,503,497,4,4,4,1339,1000,507,493,4,4,4,1303,1000,490,510,4,4,4,1336,1000,496,504,4,4,4,1291,1000,490,510,4,4,4,1328,1000,511,489,4,4,4,1314,1000,508,492,4,4,4,1292,1000,496,504,4,4,4,1326,1000,500,500,4,4,4,1275
1000,55.5,944.5,2.7933,2.820605699,2.791331699,633.9,,1000,40,960,2.752,2.875,2.746875,655.8,1000,51,949,2.856,3.098039216,2.842992624,605.7,1000,53,947,2.837,2.849056604,2.836325238,591.1,1000,54,946,2.819,3,2.808668076,634.6,1000,77,923,2.775,2.961038961,2.759479957,631.5,1000,59,941,2.762,2.576271186,2.773645058,677.6,1000,59,941,2.785,2.762711864,2.78639745,643.9,1000,43,957,2.792,2.581395349,2.801462905,620.6,1000,58,942,2.828,2.551724138,2.845010616,619.2,1000,61,939,2.727,2.950819672,2.712460064,659
624,76.1,547.9,1.875357028,1.95295427,1.863901136,421.15,,619,60,559,1.855250404,1.856666667,1.85509839,424.4,629,77,552,1.914785374,2.11038961,1.8875,421.1,628,80,548,1.86656051,2.01625,1.844708029,419.1,619,100,519,1.910016155,2.076,1.878034682,433.6,623,64,559,1.86388443,1.678125,1.885152057,410.9,607,67,540,1.912520593,2.197014925,1.877222222,440.7,617,74,543,1.88006483,2.040540541,1.858195212,431.8,643,67,576,1.860031104,1.967164179,1.847569444,384,639,84,555,1.859937402,1.722619048,1.880720721,424.6,616,88,528,1.830519481,1.864772727,1.824810606,421.3
298.2,159.9,138.3,1.360153543,1.333870886,1.391508057,413.63,,290,141,149,1.334137931,1.319148936,1.348322148,425,305,174,131,1.335737705,1.406321839,1.241984733,422,304,168,136,1.347368421,1.322619048,1.377941176,404.4,311,165,146,1.389389068,1.390909091,1.387671233,412.6,300,165,135,1.272333333,1.256363636,1.291851852,417.1,310,153,157,1.331612903,1.368627451,1.295541401,423,282,166,116,1.475531915,1.410240964,1.568965517,422.8,303,150,153,1.307920792,1.230666667,1.383660131,384,296,162,134,1.43277027,1.337037037,1.548507463,410.9,281,155,126,1.374733096,1.296774194,1.470634921,414.5
75.3,70.8,4.5,1.206045133,1.198470978,1.298690476,490.44,,67,61,6,1.349253731,1.367213115,1.166666667,502.5,71,69,2,1.094366197,1.084057971,1.45,496.4,75,69,6,1.213333333,1.155072464,1.883333333,477.2,87,80,7,1.144827586,1.16375,0.928571429,491.1,68,66,2,1.189705882,1.203030303,0.75,490.9,76,71,5,1.051315789,1.069014085,0.8,498.5,88,84,4,1.272727273,1.296428571,0.775,499.8,68,64,4,1.126470588,1.121875,1.2,475.2,83,77,6,1.269879518,1.197402597,2.2,482.7,70,67,3,1.348571429,1.326865672,1.833333333,490.1
20.7,20.7,0,1.042302319,1.042302319,#DIV/0!,625.27,,20,20,0,1.255,1.255,<RuntimePrimitiveException>,638.6,13,13,0,1.207692308,1.207692308,<RuntimePrimitiveException>,639.5,24,24,0,0.983333333,0.983333333,<RuntimePrimitiveException>,614,23,23,0,0.856521739,0.856521739,<RuntimePrimitiveException>,619.9,16,16,0,1.2875,1.2875,<RuntimePrimitiveException>,627.3,16,16,0,1.05625,1.05625,<RuntimePrimitiveException>,636.2,31,31,0,1.003225806,1.003225806,<RuntimePrimitiveException>,621.5,15,15,0,0.773333333,0.773333333,<RuntimePrimitiveException>,614,25,25,0,1.096,1.096,<RuntimePrimitiveException>,619.9,24,24,0,0.904166667,0.904166667,<RuntimePrimitiveException>,621.8
5.3,5.3,0,0.94572619,0.94572619,#DIV/0!,764.24,,10,10,0,1.25,1.25,<RuntimePrimitiveException>,763.4,4,4,0,0.8,0.8,<RuntimePrimitiveException>,782.3,6,6,0,0.483333333,0.483333333,<RuntimePrimitiveException>,754,5,5,0,0.64,0.64,<RuntimePrimitiveException>,765,5,5,0,1.4,1.4,<RuntimePrimitiveException>,762.9,3,3,0,0.766666667,0.766666667,<RuntimePrimitiveException>,779.6,8,8,0,0.7125,0.7125,<RuntimePrimitiveException>,756.5,2,2,0,1.9,1.9,<RuntimePrimitiveException>,757.7,7,7,0,0.971428571,0.971428571,<RuntimePrimitiveException>,760.7,3,3,0,0.533333333,0.533333333,<RuntimePrimitiveException>,760.3
